"id","time","mfq_1","mfq_2","mfq_3","mfq_4","mfq_5","mfq_6","mfq_7","mfq_8","mfq_9","mfq_10","mfq_11","mfq_12","mfq_13","mfq_14","mfq_15","mfq_16","mfq_17","mfq_18","mfq_19","mfq_20","mfq_21","mfq_22","mfq_23","mfq_24","mfq_25","mfq_26","mfq_27","mfq_28","mfq_29","mfq_30","mfq_31","mfq_32","mfq_33","mfq_34","mfq_35","mfq_36","mfq_37"
"g7cWKbT6WXR",15,"Strongly Disagree",,"Disagree","Neutral",,,,,,"Disagree",,"Strongly Agree",,,,,,,"Strongly Agree","Strongly Disagree",,,,,,,"Strongly Agree",,,,,"Disagree",,,"Slightly Agree",,
"bYxatj8kFJT",11.881,,"Slightly Agree",,"Strongly Disagree",,,,,,,"Strongly Disagree",,,"Slightly Agree","Agree",,,,,,,,,,,,,"Strongly Disagree","Slightly Agree",,"Disagree",,,"Slightly Disagree",,"Slightly Disagree",
"GOF-xo09Iji",12.802,,,,,,"Strongly Agree","Strongly Agree","Disagree",,,,"Neutral",,,"Strongly Disagree","Disagree",,,,"Strongly Agree",,"Slightly Disagree",,,,,,"Slightly Disagree","Slightly Disagree",,,,,,,,
"Y1hbja9Pizc",19.285,,,,"Disagree",,"Slightly Agree",,,"Strongly Disagree",,"Strongly Agree",,,"Strongly Disagree",,,,"Strongly Disagree",,,,,,"Disagree",,,,"Strongly Disagree","Slightly Agree",,,,"Slightly Disagree",,,,
"rLMf4Ki-tmj",16.032,,"Slightly Agree",,,,,,"Slightly Agree","Strongly Disagree",,,,"Disagree","Slightly Agree",,,,,,,"Slightly Disagree",,"Slightly Agree",,,,,,"Slightly Disagree",,"Strongly Disagree",,,,"Strongly Disagree",,
"zFI_2V5SmqR",12.593,,,,,,,"Slightly Disagree",,,,,"Strongly Agree",,"Disagree","Slightly Disagree",,"Disagree",,"Slightly Disagree","Strongly Agree",,,,,"Strongly Agree",,,,,"Agree",,"Strongly Agree",,,,,
"wibJthlkcve",24.999,"Disagree","Slightly Agree",,,"Slightly Agree","Strongly Disagree","Slightly Agree","Slightly Agree",,"Disagree",,,,,,,,,,"Slightly Agree",,,,"Strongly Disagree",,,,,,,,,,,,"Disagree",
"UN2r5WNXgvG",11.524,"Neutral",,,"Neutral","Neutral",,,,,"Neutral","Neutral",,"Neutral",,,,"Neutral",,,,,,,,,"Neutral",,"Neutral",,,,,,,,"Neutral",
"_j80Eu_cFCN",31.675,,,,,,"Neutral",,,,,"Neutral",,,"Neutral",,,,,"Neutral",,,,"Neutral","Agree",,,"Neutral",,,"Neutral","Neutral",,,,,"Neutral",
"1sGjVdzOrVV",11.012,,,"Slightly Agree","Strongly Agree",,,,,,,,"Disagree",,"Slightly Disagree",,"Agree",,,,,,"Disagree",,,,,,,,,"Strongly Agree","Strongly Agree","Agree",,,"Slightly Disagree",
"sY81B7TQ7_c",13.055,,,,,,,,,,,,,"Disagree",,,"Strongly Disagree",,"Strongly Disagree",,"Strongly Disagree","Strongly Disagree",,"Disagree","Disagree",,,,,"Disagree",,"Strongly Disagree",,,,,"Strongly Disagree",
"zsM2NBvVC_I",11.047,,"Agree","Strongly Agree",,,,,"Disagree",,,,,,"Strongly Agree","Disagree","Strongly Agree",,,,,,"Agree","Agree",,,,"Slightly Disagree",,,,,,"Agree",,,,
"UEWND5DN5DF",11.085,,"Slightly Disagree",,,,"Slightly Disagree",,,,,,,"Disagree",,,,,,,,"Disagree",,,,"Strongly Agree",,"Disagree",,"Strongly Agree",,,"Slightly Disagree","Strongly Agree",,,"Strongly Agree",
"JLGBC33Bk_b",18.307,"Slightly Disagree","Disagree",,,,,,,,,,,,"Slightly Disagree",,"Strongly Disagree",,,,"Slightly Disagree",,,,"Agree",,"Disagree",,,,,"Slightly Disagree",,,,"Slightly Agree","Slightly Disagree",
"KAQ9I2Efp0D",16.878,,,"Strongly Disagree",,"Strongly Disagree",,,"Strongly Disagree",,,,"Strongly Disagree","Strongly Disagree",,,,,,,,,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",,,,"Strongly Disagree",,,,,,,,
"C-YhX14BV6g",14.42,,,,"Strongly Agree",,,"Strongly Agree","Strongly Agree",,,,,,"Strongly Agree",,,"Strongly Agree",,,,,"Strongly Agree",,,,"Strongly Agree",,"Strongly Agree",,,,,"Strongly Agree","Strongly Agree",,,
"4Ts-Mn2jSzg",123.471,"Agree",,,,,,,"Slightly Disagree","Disagree","Slightly Disagree",,,,,,,"Slightly Disagree",,"Disagree",,,,,,"Slightly Agree","Slightly Disagree",,"Slightly Agree",,,,,,,"Slightly Disagree",,
"OMoPVJvIjsq",23.288,,,,,,,,"Strongly Disagree","Strongly Agree",,,,,"Agree",,,,,"Disagree","Agree","Disagree",,"Disagree",,,,,"Slightly Disagree",,"Agree",,,,,"Disagree",,
